INFO  - 2017-11-13 10:28:23.288; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.288; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2017-11-13 10:28:23.288; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2017-11-13 10:28:23.289; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2017-11-13 10:28:23.289; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.296; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.297; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.297; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2017-11-13 10:28:23.297; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2017-11-13 10:28:23.298; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
